Institution_ID,Staff_ID,Staff_Type,Measure,Month,Passed_Count,Flagged_Count,Excluded_Count,Denominator,Pass_percentage
1,1,Attending,BP02,1/1/2021,42,0,9,42,1
1,1,Attending,BP02,2/1/2021,34,0,10,34,1
1,1,Attending,BP02,3/1/2021,70,0,12,70,1
1,1,Attending,BP02,4/1/2021,40,1,23,41,0.975609756
1,1,Attending,BP02,5/1/2021,32,2,13,34,0.941176471
1,1,Attending,BP02,6/1/2021,63,1,14,64,0.984375
1,1,Attending,BP02,8/1/2021,80,2,9,82,0.975609756
1,1,Attending,BP02,9/1/2021,59,3,26,62,0.951612903
1,1,Attending,BP02,10/1/2021,62,1,14,63,0.984126984
1,1,Attending,BP02,11/1/2021,58,2,22,60,0.966666667
1,1,Attending,BP02,12/1/2021,55,0,17,55,1
1,1,Attending,FLUID01NC,1/1/2021,45,0,6,45,1
1,1,Attending,FLUID01NC,2/1/2021,36,0,8,36,1
1,1,Attending,FLUID01NC,3/1/2021,75,0,7,75,1
1,1,Attending,FLUID01NC,4/1/2021,60,0,4,60,1
1,1,Attending,FLUID01NC,5/1/2021,43,0,4,43,1
1,1,Attending,FLUID01NC,6/1/2021,63,0,15,63,1
1,1,Attending,FLUID01NC,7/1/2021,38,0,6,38,1
1,1,Attending,FLUID01NC,8/1/2021,80,0,11,80,1
1,1,Attending,FLUID01NC,9/1/2021,79,0,9,79,1
1,1,Attending,FLUID01NC,10/1/2021,71,1,5,72,0.986111111
1,1,Attending,FLUID01NC,11/1/2021,80,0,2,80,1
1,1,Attending,FLUID01NC,12/1/2021,63,0,9,63,1
1,1,Attending,MED01,3/1/2021,58,0,24,58,1
1,1,Attending,MED01,4/1/2021,41,0,23,41,1
1,1,Attending,MED01,5/1/2021,30,0,17,30,1
1,1,Attending,MED01,6/1/2021,45,0,33,45,1
1,1,Attending,MED01,8/1/2021,52,0,39,52,1
1,1,Attending,MED01,9/1/2021,40,0,48,40,1
1,1,Attending,MED01,10/1/2021,41,0,36,41,1
1,1,Attending,MED01,11/1/2021,42,0,40,42,1
1,1,Attending,MED01,12/1/2021,36,0,36,36,1
1,1,Attending,PONV03,3/1/2021,63,6,13,69,0.913043478
1,1,Attending,PONV03,4/1/2021,31,3,30,34,0.911764706
1,1,Attending,PONV03,6/1/2021,48,15,15,63,0.761904762
1,1,Attending,PONV03,7/1/2021,29,2,13,31,0.935483871
1,1,Attending,PONV03,8/1/2021,71,3,17,74,0.959459459
1,1,Attending,PONV03,9/1/2021,68,5,15,73,0.931506849
1,1,Attending,PONV03,10/1/2021,56,5,16,61,0.918032787
1,1,Attending,PONV03,11/1/2021,62,8,12,70,0.885714286
1,1,Attending,PONV03,12/1/2021,53,5,14,58,0.913793103
1,1,Attending,PONV03b,3/1/2021,66,3,13,69,0.956521739
1,1,Attending,PONV03b,4/1/2021,33,1,30,34,0.970588235
1,1,Attending,PONV03b,6/1/2021,58,5,15,63,0.920634921
1,1,Attending,PONV03b,7/1/2021,30,1,13,31,0.967741935
1,1,Attending,PONV03b,8/1/2021,71,3,17,74,0.959459459
1,1,Attending,PONV03b,9/1/2021,71,2,15,73,0.97260274
1,1,Attending,PONV03b,10/1/2021,58,3,16,61,0.950819672
1,1,Attending,PONV03b,11/1/2021,64,6,12,70,0.914285714
1,1,Attending,PONV03b,12/1/2021,55,3,14,58,0.948275862
1,1,Attending,SUS01,1/1/2021,27,3,21,30,0.9
1,1,Attending,SUS01,3/1/2021,42,4,36,46,0.913043478
1,1,Attending,SUS01,6/1/2021,39,0,39,39,1
1,1,Attending,SUS01,8/1/2021,46,2,43,48,0.958333333
1,1,Attending,SUS01,9/1/2021,36,4,48,40,0.9
1,1,Attending,SUS01,11/1/2021,32,0,50,32,1
1,1,Attending,SUS01,12/1/2021,36,1,35,37,0.972972973
1,1,Attending,TEMP02,3/1/2021,40,2,40,42,0.952380952
1,1,Attending,TEMP02,6/1/2021,32,2,44,34,0.941176471
1,1,Attending,TEMP02,8/1/2021,37,3,51,40,0.925
1,1,Attending,TEMP02,9/1/2021,34,1,53,35,0.971428571
1,1,Attending,TEMP02,11/1/2021,27,3,52,30,0.9
1,2,CRNA,BP02,1/1/2021,106,0,7,106,1
1,2,CRNA,BP02,2/1/2021,73,0,2,73,1
1,2,CRNA,BP02,3/1/2021,63,0,6,63,1
1,2,CRNA,BP02,4/1/2021,97,1,12,98,0.989795918
1,2,CRNA,BP02,5/1/2021,71,0,2,71,1
1,2,CRNA,BP02,6/1/2021,92,0,5,92,1
1,2,CRNA,BP02,7/1/2021,73,0,8,73,1
1,2,CRNA,BP02,8/1/2021,125,1,6,126,0.992063492
1,2,CRNA,BP02,9/1/2021,108,0,6,108,1
1,2,CRNA,BP02,10/1/2021,71,2,8,73,0.97260274
1,2,CRNA,BP02,11/1/2021,89,0,20,89,1
1,2,CRNA,BP02,12/1/2021,60,0,6,60,1
1,2,CRNA,FLUID01NC,1/1/2021,108,0,5,108,1
1,2,CRNA,FLUID01NC,2/1/2021,75,0,0,75,1
1,2,CRNA,FLUID01NC,3/1/2021,69,0,0,69,1
1,2,CRNA,FLUID01NC,4/1/2021,110,0,0,110,1
1,2,CRNA,FLUID01NC,5/1/2021,72,0,1,72,1
1,2,CRNA,FLUID01NC,6/1/2021,96,0,1,96,1
1,2,CRNA,FLUID01NC,7/1/2021,81,0,0,81,1
1,2,CRNA,FLUID01NC,8/1/2021,132,0,0,132,1
1,2,CRNA,FLUID01NC,9/1/2021,114,0,0,114,1
1,2,CRNA,FLUID01NC,10/1/2021,81,0,0,81,1
1,2,CRNA,FLUID01NC,11/1/2021,107,0,2,107,1
1,2,CRNA,FLUID01NC,12/1/2021,66,0,0,66,1
1,2,CRNA,PONV03,1/1/2021,85,4,24,89,0.95505618
1,2,CRNA,PONV03,2/1/2021,56,1,18,57,0.98245614
1,2,CRNA,PONV03,3/1/2021,47,7,15,54,0.87037037
1,2,CRNA,PONV03,4/1/2021,84,4,22,88,0.954545455
1,2,CRNA,PONV03,5/1/2021,48,9,16,57,0.842105263
1,2,CRNA,PONV03,6/1/2021,74,4,19,78,0.948717949
1,2,CRNA,PONV03,7/1/2021,61,2,18,63,0.968253968
1,2,CRNA,PONV03,8/1/2021,95,3,34,98,0.969387755
1,2,CRNA,PONV03,9/1/2021,90,5,19,95,0.947368421
1,2,CRNA,PONV03,10/1/2021,49,4,28,53,0.924528302
1,2,CRNA,PONV03,11/1/2021,79,4,26,83,0.951807229
1,2,CRNA,PONV03,12/1/2021,59,1,6,60,0.983333333
1,2,CRNA,PONV03b,1/1/2021,88,1,24,89,0.988764045
1,2,CRNA,PONV03b,2/1/2021,56,1,18,57,0.98245614
1,2,CRNA,PONV03b,3/1/2021,52,2,15,54,0.962962963
1,2,CRNA,PONV03b,4/1/2021,85,3,22,88,0.965909091
1,2,CRNA,PONV03b,5/1/2021,57,0,16,57,1
1,2,CRNA,PONV03b,6/1/2021,77,1,19,78,0.987179487
1,2,CRNA,PONV03b,7/1/2021,62,1,18,63,0.984126984
1,2,CRNA,PONV03b,8/1/2021,98,0,34,98,1
1,2,CRNA,PONV03b,9/1/2021,94,1,19,95,0.989473684
1,2,CRNA,PONV03b,10/1/2021,50,3,28,53,0.943396226
1,2,CRNA,PONV03b,11/1/2021,83,0,26,83,1
1,2,CRNA,PONV03b,12/1/2021,59,1,6,60,0.983333333
1,2,CRNA,SUS01,1/1/2021,35,3,75,38,0.921052632
1,2,CRNA,SUS01,2/1/2021,37,1,37,38,0.973684211
1,2,CRNA,SUS01,3/1/2021,31,0,38,31,1
1,2,CRNA,SUS01,4/1/2021,39,2,69,41,0.951219512
1,2,CRNA,SUS01,5/1/2021,39,2,32,41,0.951219512
1,2,CRNA,SUS01,6/1/2021,41,3,53,44,0.931818182
1,2,CRNA,SUS01,7/1/2021,33,0,48,33,1
1,2,CRNA,SUS01,8/1/2021,48,1,83,49,0.979591837
1,2,CRNA,SUS01,9/1/2021,38,2,74,40,0.95
1,2,CRNA,SUS01,10/1/2021,47,3,31,50,0.94
1,2,CRNA,SUS01,11/1/2021,44,3,62,47,0.936170213
1,2,CRNA,BP01,1/1/2021,107,0,6,107,1
1,2,CRNA,BP01,2/1/2021,74,0,1,74,1
1,2,CRNA,BP01,3/1/2021,67,0,2,67,1
1,2,CRNA,BP01,4/1/2021,99,0,11,99,1
1,2,CRNA,BP01,5/1/2021,70,0,3,70,1
1,2,CRNA,BP01,6/1/2021,88,0,9,88,1
1,2,CRNA,BP01,7/1/2021,73,0,8,73,1
1,2,CRNA,BP01,8/1/2021,125,0,7,125,1
1,2,CRNA,BP01,9/1/2021,106,0,8,106,1
1,2,CRNA,BP01,10/1/2021,73,0,8,73,1
1,2,CRNA,BP01,11/1/2021,98,0,11,98,1
1,2,CRNA,BP01,12/1/2021,60,0,6,60,1
